semana,fecha_inicio_semana,trimestre,programa,genero,canal,horario,franja_horaria,temporada,episodio,rating,share_pct,audiencia_millones,rating_azteca,rating_canal5,demo_18_34_pct,demo_35_54_pct,demo_55plus_pct
1,2024-01-01,Q1,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,1,1,8.35,46.18,11.53,6.41,2.05,20.5,29.1,50.4
1,2024-01-01,Q1,Hoy,Magazine,Las Estrellas,09:00,Matutino,1,1,5.03,44.83,7.1,3.01,1.51,22.8,26.5,50.7
1,2024-01-01,Q1,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,1,1,3.26,25.41,4.5,5.03,1.76,31.8,25.5,42.7
1,2024-01-01,Q1,Exatlón México,Reality,TUDN,19:30,Prime Time,1,1,6.63,41.64,9.08,5.44,1.82,24.4,32.6,43.0
1,2024-01-01,Q1,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,1,1,7.74,44.41,10.48,5.23,1.99,31.2,35.7,33.1
1,2024-01-01,Q1,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,1,1,2.13,42.14,3.03,1.26,0.74,24.4,33.8,41.8
1,2024-01-01,Q1,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,1,1,4.72,51.61,6.37,1.08,0.96,35.2,27.4,37.4
1,2024-01-01,Q1,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,1,1,5.73,36.65,6.95,5.27,2.14,26.8,27.3,45.9
1,2024-01-01,Q1,Fútbol Total,Deportes,TUDN,21:00,Prime Time,1,1,5.92,37.45,7.95,5.68,1.8,22.0,30.7,47.3
1,2024-01-01,Q1,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,1,1,4.08,48.86,5.93,2.94,0.75,36.9,34.1,29.0
2,2024-01-08,Q1,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,1,2,8.29,46.32,10.92,6.04,2.31,34.6,33.0,32.4
2,2024-01-08,Q1,Hoy,Magazine,Las Estrellas,09:00,Matutino,1,2,5.38,51.93,7.14,3.33,1.6,21.6,29.4,49.0
2,2024-01-08,Q1,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,1,2,3.26,25.14,3.96,5.32,2.26,31.5,35.6,32.9
2,2024-01-08,Q1,Exatlón México,Reality,TUDN,19:30,Prime Time,1,2,7.2,42.44,10.12,5.94,1.97,33.2,36.6,30.2
2,2024-01-08,Q1,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,1,2,7.4,41.18,9.98,6.43,1.58,37.1,38.0,24.9
2,2024-01-08,Q1,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,1,2,2.35,39.87,3.05,1.54,0.4,25.6,34.5,39.9
2,2024-01-08,Q1,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,1,2,4.84,56.82,7.13,1.29,0.64,23.3,30.3,46.4
2,2024-01-08,Q1,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,1,2,5.96,36.75,8.18,5.59,2.2,34.0,35.3,30.7
2,2024-01-08,Q1,Fútbol Total,Deportes,TUDN,21:00,Prime Time,1,2,5.72,35.74,7.44,5.67,2.02,32.2,27.6,40.2
2,2024-01-08,Q1,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,1,2,3.86,45.37,5.32,2.8,1.05,23.3,30.7,46.0
3,2024-01-15,Q1,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,1,3,7.76,44.73,10.34,5.48,2.07,33.7,37.6,28.7
3,2024-01-15,Q1,Hoy,Magazine,Las Estrellas,09:00,Matutino,1,3,5.21,45.1,7.1,3.3,1.39,24.6,25.5,49.9
3,2024-01-15,Q1,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,1,3,2.83,22.43,3.84,6.79,2.06,28.0,26.0,46.0
3,2024-01-15,Q1,Exatlón México,Reality,TUDN,19:30,Prime Time,1,3,6.9,41.36,8.85,6.26,2.25,24.3,32.5,43.2
3,2024-01-15,Q1,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,1,3,7.55,44.69,10.75,5.24,2.22,22.9,27.1,50.0
3,2024-01-15,Q1,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,1,3,2.76,47.88,3.5,1.54,0.7,34.9,31.4,33.7
3,2024-01-15,Q1,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,1,3,4.44,55.68,5.57,1.69,0.62,27.2,40.0,32.8
3,2024-01-15,Q1,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,1,3,6.55,41.04,8.71,6.13,1.85,30.2,26.4,43.4
3,2024-01-15,Q1,Fútbol Total,Deportes,TUDN,21:00,Prime Time,1,3,5.76,35.53,7.13,5.87,2.15,37.2,27.3,35.5
3,2024-01-15,Q1,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,1,3,4.53,53.85,5.59,3.01,1.16,35.8,31.3,32.9
4,2024-01-22,Q1,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,1,4,8.25,45.27,10.87,5.89,2.16,27.7,33.9,38.4
4,2024-01-22,Q1,Hoy,Magazine,Las Estrellas,09:00,Matutino,1,4,4.9,43.62,6.8,2.72,1.53,30.6,39.6,29.8
4,2024-01-22,Q1,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,1,4,3.1,23.32,4.65,5.47,2.29,33.6,26.7,39.7
4,2024-01-22,Q1,Exatlón México,Reality,TUDN,19:30,Prime Time,1,4,6.94,40.46,10.13,5.7,1.95,35.4,30.1,34.5
4,2024-01-22,Q1,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,1,4,7.06,42.91,9.5,5.94,2.16,28.7,31.8,39.5
4,2024-01-22,Q1,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,1,4,2.35,40.13,3.75,1.39,1.34,39.4,36.4,24.2
4,2024-01-22,Q1,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,1,4,5.07,62.27,6.42,1.69,0.76,37.4,29.5,33.1
4,2024-01-22,Q1,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,1,4,6.3,38.56,8.48,5.46,1.8,23.1,36.4,40.5
4,2024-01-22,Q1,Fútbol Total,Deportes,TUDN,21:00,Prime Time,1,4,5.55,35.18,7.58,5.3,2.13,32.0,32.3,35.7
4,2024-01-22,Q1,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,1,4,4.4,52.02,6.0,2.82,0.87,38.6,38.2,23.2
5,2024-01-29,Q1,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,1,5,8.34,45.28,11.69,6.22,1.82,24.8,28.6,46.6
5,2024-01-29,Q1,Hoy,Magazine,Las Estrellas,09:00,Matutino,1,5,4.8,45.9,6.69,3.41,2.17,21.7,32.3,46.0
5,2024-01-29,Q1,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,1,5,3.56,25.56,5.19,6.06,2.04,39.6,33.0,27.4
5,2024-01-29,Q1,Exatlón México,Reality,TUDN,19:30,Prime Time,1,5,7.0,42.65,9.36,5.61,2.12,22.6,32.1,45.3
5,2024-01-29,Q1,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,1,5,7.97,47.34,11.03,5.15,2.01,25.3,38.1,36.6
5,2024-01-29,Q1,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,1,5,2.44,40.86,2.86,1.21,0.94,39.3,38.9,21.8
5,2024-01-29,Q1,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,1,5,4.66,56.36,6.31,1.24,1.23,34.3,31.0,34.7
5,2024-01-29,Q1,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,1,5,6.31,41.8,8.59,5.54,2.27,28.8,32.8,38.4
5,2024-01-29,Q1,Fútbol Total,Deportes,TUDN,21:00,Prime Time,1,5,5.44,35.83,7.55,6.15,1.86,25.0,26.0,49.0
5,2024-01-29,Q1,Diseñando Tu Amor,Telenovela,Las Estrellas,18:00,Vespertino,1,5,4.18,49.51,5.38,3.51,1.18,31.8,28.5,39.7
6,2024-02-05,Q1,La Rosa de Guadalupe,Drama,Las Estrellas,20:00,Prime Time,1,6,7.78,43.13,11.35,6.21,1.8,20.1,35.6,44.3
6,2024-02-05,Q1,Hoy,Magazine,Las Estrellas,09:00,Matutino,1,6,4.93,44.97,6.37,3.38,1.55,24.6,38.6,36.8
6,2024-02-05,Q1,Netas Divinas,Talk Show,Unicable,21:00,Prime Time,1,6,3.14,24.32,2.94,5.39,2.05,21.4,28.6,50.0
6,2024-02-05,Q1,Exatlón México,Reality,TUDN,19:30,Prime Time,1,6,6.46,37.83,8.15,5.62,2.13,24.3,27.0,48.7
6,2024-02-05,Q1,Vencer el Pasado,Telenovela,Las Estrellas,21:30,Prime Time,1,6,7.77,46.11,10.95,5.8,1.9,24.9,32.1,43.0
6,2024-02-05,Q1,Al Extremo,Entretenimiento,Las Estrellas,23:00,Late Night,1,6,2.25,38.46,2.8,1.53,0.72,23.8,26.5,49.7
6,2024-02-05,Q1,Noticieros Televisa,Noticias,Las Estrellas,22:30,Late Night,1,6,4.96,56.42,7.33,1.0,1.23,27.1,31.2,41.7
6,2024-02-05,Q1,Me Caigo de Risa,Comedia,Las Estrellas,20:30,Prime Time,1,6,5.48,36.04,7.63,5.91,1.98,33.5,39.8,26.7
